ITEM_VNUM	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON		
19	µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	0	0	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	63	100	1	0		
20	Àå°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	21	1	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	0	0	1	0		
21	Àå°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	22	2	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	7	0	1	0		
22	Àå°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	23	3	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	14	0	1	0		
23	Àå°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	24	4	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	21	0	1	0		
24	Àå°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	25	5	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	28	30	1	0		
25	Àå°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	26	6	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	35	40	1	0		
26	Àå°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	27	7	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	42	50	1	0		
27	Àå°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	28	8	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	49	65	1	0		
28	Àå°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	29	9	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	56	80	1	0		
29	Àå°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	0	0	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	63	100	1	0		
30	¿ùµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	31	1	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	0	0	1	0		
31	¿ùµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	32	2	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	7	0	1	0		
32	¿ùµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	33	3	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	14	0	1	0		
33	¿ùµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	34	4	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	21	0	1	0		
34	¿ùµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	35	5	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	28	30	1	0		
35	¿ùµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	36	6	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	35	40	1	0		
36	¿ùµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	37	7	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	42	50	1	0		
37	¿ùµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	38	8	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	49	65	1	0		
38	¿ùµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	39	9	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	56	80	1	0		
39	¿ùµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	63	100	1	0		
40	¼¼°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	41	1	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	0	0	1	0		
41	¼¼°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	42	2	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	7	0	1	0		
42	¼¼°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	43	3	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	14	0	1	0		
43	¼¼°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	44	4	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	21	0	1	0		
44	¼¼°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	45	5	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	28	30	1	0		
45	¼¼°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	46	6	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	35	40	1	0		
46	¼¼°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	47	7	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	42	50	1	0		
47	¼¼°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	48	8	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	49	65	1	0		
48	¼¼°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	49	9	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	56	80	1	0		
49	¼¼°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	0	0	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	63	100	1	0		
50	³¶¾Æµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	51	1	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	0	0	1	0		
51	³¶¾Æµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	52	2	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	7	0	1	0		
52	³¶¾Æµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	53	3	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	14	0	1	0		
53	³¶¾Æµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	54	4	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	21	0	1	0		
54	³¶¾Æµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	55	5	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	28	30	1	0		
55	³¶¾Æµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	56	6	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	35	40	1	0		
56	³¶¾Æµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	57	7	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	42	50	1	0		
57	³¶¾Æµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	58	8	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	49	65	1	0		
58	³¶¾Æµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	59	9	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	56	80	1	0		
59	³¶¾Æµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	250000	0	0	0	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	63	100	1	0		
60	Àº°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	61	10	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	0	0	2	0		
61	Àº°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	62	11	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	6	0	2	0		
62	Àº°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	63	12	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	12	0	2	0		
63	Àº°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	64	13	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	18	0	2	0		
64	Àº°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	65	14	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	24	30	2	0		
65	Àº°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	66	15	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	32	40	2	0		
66	Àº°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	67	16	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	41	50	2	0		
67	Àº°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	68	17	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	51	65	2	0		
68	Àº°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	69	18	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	62	80	2	0		
69	Àº°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	0	0	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	74	100	2	0		
70	¿¬°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	71	10	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	0	0	2	0		
71	¿¬°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	72	11	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	6	0	2	0		
72	¿¬°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	73	12	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	12	0	2	0		
73	¿¬°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	74	13	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	18	0	2	0		
74	¿¬°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	75	14	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	24	30	2	0		
75	¿¬°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	76	15	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	32	40	2	0		
76	¿¬°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	77	16	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	41	50	2	0		
77	¿¬°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	78	17	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	51	65	2	0		
78	¿¬°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	79	18	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	62	80	2	0		
79	¿¬°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	300000	0	0	0	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	74	100	2	0		
80	»çÀÎ°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	81	10	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	0	0	2	0		
81	»çÀÎ°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	82	11	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	6	0	2	0		
82	»çÀÎ°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	83	12	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	12	0	2	0		
83	»çÀÎ°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	84	13	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	18	0	2	0		
84	»çÀÎ°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	85	14	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	24	30	2	0		
