AFF_LOVE_POINT	Love points: %d%%
BANK_TOOLTIP_BTN_ADD	1.11e+121	
BANK_TOOLTIP_BTN_CHANGE	Change Bank Password	
BANK_TOOLTIP_BTN_SEND	Send Yang to a player	
BANK_TOOLTIP_BTN_WITHDRAW	Remove Yang	
BANK_TYPE_AMOUNT	Amount:	
BANK_WITHDRAW_TITLE	Bank: Remove Yang	
BANK_WRONG_ID	Incorrect access name	
BANK_WRONG_PW	Incorrect password	
BATTLEPASS_ALREADY_GET_REWARD	You have already claimed this reward!	
BATTLEPASS_DEACTIVE_TEXT_1	"You need to buy the ""battle pass"" to be able to"	
BATTLEPASS_DEACTIVE_TEXT_2	Perform the missions and get the rewards.	
BATTLEPASS_DESCRIPTION	Description	
BATTLEPASS_INFORMATION	Information	
BATTLEPASS_INFORMATION_EX	Pass information	
BATTLEPASS_REWARD_INFO	You need to finish all missions!	
BATTLEPASS_TIME_FORMAT	%2d Days %2dh %2dm %2ds	
BATTLEPASS_TITLE	[F6] Battle pass	
BATTLEPASS_TOTAL_PROGRESS	Total progress	
BATTLE_PASS_MISSION_STATUS	Status:	
BATTLE_POINT	Combat Points	
BERANSETAOU	Dragon Temple	
BIO_CAN_GIVE_ITEM	You can deliver the following object!	
BIO_CHOOSE_GIFT	Choose a bonus:	
BIO_DONT_HAVE_MISSION	You have no mission available.	
BIO_EMPTY_BONUS	It has no bonus.	
BIO_FIND_STONE	Find the stone of the mission!	
BIO_GIFT	Reward	
BIO_GIVE_MISSION	Deliver	
BIO_MISSION_TITLE	Level %d: %s	
BIO_NEED_LEVEL	Your level is too low. Necessary level: %d	
BIO_TIME_TEXT	%d D %d H %d Min. %d Seg.	
BIO_TITLE	[F7] Biologist	
BLUE_KINGDOM	|cFF8CADDBJinno:|h|r	
BONUS_END_IN	Ends at: %s	
BONUS_EVENT	Bonus:	
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - next event	
BONUS_START_IN	Start in: %s	
BONUS_TABLE_1	Jinno players	
BONUS_TABLE_2	ShinSoo players	
BONUS_TABLE_4	Players	
BONUS_TABLE_5	Duels won	
BONUS_TABLE_6	Lost duels	
BONUS_TABLE_7	Killed monsters	
BONUS_TABLE_8	Defeated bosses	
BONUS_TABLE_9	Destroyed metines	
BONUS_TABLE_TITLE_1	PVM attributes	
BONUS_TABLE_TITLE_2	PVP attributes	
BONUS_TABLE_TITLE_3	Offensive attributes	
BONUS_TABLE_TITLE_4	Defensive attributes	
CANCEL	Cancel	
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	You cannot fish without a fishing rod equipped.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	I cannot use this on myself.
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.	SA
CANNOT_WHISPER_NOT_LOGON	%s is not online.	SA
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering.	SNA
CATACUMB	Devil's Catacomb	
CATEGORY_0_NAME	Ofertas (Packs)
CATEGORY_0_SUB_0_NAME	Battle Pass
CATEGORY_0_SUB_1_NAME	Packs
CATEGORY_1_NAME	Special objects
CATEGORY_1_SUB_1_NAME	Enchantments
CATEGORY_2_NAME	Improvements
CATEGORY_2_SUB_0_NAME	Enchantments
CATEGORY_2_SUB_1_NAME	Women Costume
CATEGORY_2_SUB_2_NAME	Men Hair
CATEGORY_2_SUB_3_NAME	Women Hair
CATEGORY_3_NAME	Weapon Skins
CATEGORY_3_SUB_0_NAME	Sword Skin
CATEGORY_3_SUB_1_NAME	Twohand Skin
CATEGORY_3_SUB_2_NAME	Bow Skin
CATEGORY_3_SUB_3_NAME	Dagger Skin
CATEGORY_3_SUB_4_NAME	Fan Skin
CATEGORY_3_SUB_5_NAME	Bell Skin
CATEGORY_4_NAME	Cosmetica
CATEGORY_4_SUB_0_NAME	Sash Skin
CATEGORY_4_SUB_1_NAME	Mount Skin
CATEGORY_4_SUB_2_NAME	Weapon Effect
CATEGORY_4_SUB_3_NAME	Armour Effect
CATEGORY_5_NAME	Pets and mounts
CATEGORY_5_SUB_0_NAME	Mounts
CATEGORY_5_SUB_1_NAME	Leveable pets
CATEGORY_5_SUB_2_NAME	Normal pets
CATEGORY_6_NAME	Alchemy Items
CATEGORY_7_NAME	Equipment
CATEGORY_7_SUB_0_NAME	Weapons
CATEGORY_7_SUB_1_NAME	Armor
CATEGORY_7_SUB_2_NAME	Accessories
CATEGORY_8_NAME	Dungeon Tickets
CATEGORY_9_NAME	Rarity Objects
CATEGORY_10_NAME	Reinforcements
CATEGORY_10_SUB_0_NAME	Weapon Skins
CATEGORY_10_SUB_1_NAME	Costumes
CATEGORY_10_SUB_2_NAME	Hairstyle
CATEGORY_10_SUB_3_NAME	Mount Skin
CATEGORY_10_SUB_4_NAME	Sash Skin
CATEGORY_10_SUB_5_NAME	Effects
CATEGORY_11_NAME	Aura clothing
CATEGORY_11_SUB_0_NAME	Auras
CATEGORY_11_SUB_1_NAME	Enhancers
CATEGORY_11_SUB_2_NAME	Refinement
CATEGORY_12_NAME	Sash
CATEGORY_12_SUB_0_NAME	Sash
CATEGORY_12_SUB_1_NAME	Refinement
CHANNEL	Channel	
CHANNEL_EMPTY_SERVER	Non-server	
CHANNEL_NORMAL	Channel %d	
CHANNEL_NOTIFY_FULL	This channel is full! Please select another.	
CHANNEL_NOT_FIND_INFO	No information has been found through this channel.	
CHANNEL_PVP	Free duel	
CHANNEL_SELECT_CHANNEL	Choose the channel	
CHANNEL_SELECT_REGION	Choose the region.	
CHANNEL_SELECT_SERVER	Choose server	
CHANNEL_STATE_FULL	Full	
CHANNEL_STATE_MED	Means, medium	
CHANNEL_STATE_NORMAL	Normal	
CHANNEL_STATE_OFF	...	
CHARACTER_ASSASSIN	Ninja	
CHARACTER_CREATE_APPEARANCE1	Style 1	
CHARACTER_CREATE_APPEARANCE2	Style 2	
CHARACTER_CREATE_FEMALE	Female	
CHARACTER_CREATE_MALE	Male	
CHARACTER_CREATE_MODE	Create character	
CHARACTER_NAME	Name	
CHARACTER_SELECT_MODE	Select server	
CHARACTER_SHAMAN	Shaman	
CHARACTER_SURA	Sura	
CHARACTER_WARRIOR	Warrior	
CHATTING_SETTING_ADD	Add Tabulation	
CHATTING_SETTING_ADD_MAX	You cannot add more eyelashes to the chat.	
CHATTING_SETTING_CANCLE	Cancel	
CHATTING_SETTING_CANT_CHANGE_TITLE	You can't use this chat name.	
CHATTING_SETTING_CHANGE_TITLE_NAME	Do you want to save the name for this chat?	
CHATTING_SETTING_CHANGE_TITLE_NOT	The name of the general chat cannot be changed.	
CHATTING_SETTING_CLEAR	Reset?
CHATTING_SETTING_CLEAR_QUESTION	Do you want to reset the options?	
CHATTING_SETTING_DEL	Delete tab	
CHATTING_SETTING_DETAIL	Chat options	
CHATTING_SETTING_DICE	He says	
CHATTING_SETTING_DICE_SETTING	Says options	
CHATTING_SETTING_EXP	Experience	
CHATTING_SETTING_GOLD	Gold received	
CHATTING_SETTING_GUILD	Guild	
CHATTING_SETTING_ITEM	Objects received	
CHATTING_SETTING_LANGUAGE	Language %d	
CHATTING_SETTING_LANGUAGE_CUR	Current language: ( %s)	
CHATTING_SETTING_LANGUAGE_OFF	Off	
CHATTING_SETTING_LANGUAGE_ON	ON	
CHATTING_SETTING_LANGUAGE_ONOFF	Filter	
CHATTING_SETTING_LIST	Ready	
CHATTING_SETTING_NOTICE	Message	
CHATTING_SETTING_PARTY	Group	
CHATTING_SETTING_SAVE	Save	
CHATTING_SETTING_SAVE_QUESTION	Do you want to save the following changes %s?	
CHATTING_SETTING_SHOUT	Kingdom chat	
CHATTING_SETTING_SYSTEM	System	
CHATTING_SETTING_TABNAME	Chat name	
CHATTING_SETTING_TALKING	General	
CHATTING_SETTING_TITLE	Chat options	
CHAT_ALL	All
CHAT_DICE_INFO	Throw
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence has invalid words in it.
CHAT_LOG	Show old messages [L]
CHAT_LOG_TITLE	Chat-log
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Group
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send whisper [Shift+Enter]
CHAT_SHOUT	Call
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.
CHEST_TOOLTIP_TEXT	Vision of the chest	
COMBAT_ZONE_CURRENT_REAL_POINTS	Combat points: %d	
COMBAT_ZONE_LIMIT_SHOP_POINTS	Daily limit: %d/ %d	
COMBAT_ZONE_SHOP_EXCEED_LIMIT_TODAY	You have already exceeded your daily limit to use points.	
COMBAT_ZONE_SHOP_NOT_ENOUGH_BATTLE_POINT	You don't have enough combat points.	
COMBAT_ZONE_SHOP_OVERFLOW_LIMIT_TODAY	The current limit + the price of the article exceeds the maximum limit.	
COMBAT_ZONE_TOOLTIP_BATTLE_POTION	Battle potion of the combat zone	SNA
CONNECT_ACCOUNT	Connect
COSTUME_SLOT_CARCAJ	Sash
COSTUME_SLOT_COSTUME_ARMOR	Costume	
COSTUME_SLOT_COSTUME_HAIR	Hairstyle	
COSTUME_SLOT_COSTUME_SASH	Sash Skin	
COSTUME_SLOT_COSTUME_WEAPON	Weapon Skin	
COSTUME_SLOT_EFECT_ARMOR	Armor effect	
COSTUME_SLOT_EFECT_WEAPON	Weapon effect	
COSTUME_SLOT_MOUNT	Mount	
COSTUME_SLOT_PET	Normal pet	
COSTUME_SLOT_PET_OFICIAL	Growth pet	
COSTUME_SLOT_AURA	Aura Outfit
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.
CREATE_ERROR_INSULT_NAME	This name is invalid.
CREATE_EXIST_SAME_NAME	Another character already has this name.
CREATE_FAILURE	You cannot create the character
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Enter the name.
DAY	Days	
DECEMBER	December	
DELETE_ACCOUNT	Delete
DETAILS_1	Str. vs Half Humans
DETAILS_12	Attack Value
DETAILS_13	Defence Value
DETAILS_14	Average Damage
DETAILS_15	Average Dmg. Resist.
DETAILS_16	Skill Damage
DETAILS_17	Skill Damage Resistance
DETAILS_2	Res. to Half Humans
DETAILS_20	Critical Hit Chance
DETAILS_21	Piercing Hit
DETAILS_22	Critical Hit Resist.
DETAILS_23	Piercing Hit Resist.
DETAILS_3	Strong vs Orcs
DETAILS_36	Strong vs Warriors
DETAILS_37	Strong vs Ninjas
DETAILS_38	Strong vs Suras
DETAILS_39	Strong vs Shamans
DETAILS_4	Strong vs Undead
DETAILS_41	Defence vs Warriors
DETAILS_42	Defence vs Ninjas
DETAILS_43	Defence vs Suras
DETAILS_44	Defence vs Shamans
DETAILS_46	Sword Defence
DETAILS_47	Two-handed Defence
DETAILS_48	Dagger Defence
DETAILS_5	Strong vs Monsters
DETAILS_50	Bell Defence
DETAILS_51	Fan Defence
DETAILS_52	Arrow Defence
DETAILS_53	Faint Chance
DETAILS_54	Slowing Chance
DETAILS_55	Poison Chance
DETAILS_56	Poison Resistance
DETAILS_59	HP Steal
DETAILS_6	Str. vs Zodiac Mon.
DETAILS_60	SP Steal
DETAILS_61	HP Recovery
DETAILS_62	SP Recovery
DETAILS_63	Block Attack
DETAILS_64	Evade Arrow Attack
DETAILS_65	Reflect Melee Attack
DETAILS_66	HP Recovery on Kill
DETAILS_67	SP Recovery on Kill
DETAILS_68	% Extra HP	
DETAILS_69	% Extra SP	
DETAILS_7	Strong vs Animals
DETAILS_72	Defence Value
DETAILS_73	Double EXP
DETAILS_74	Drop Chance
DETAILS_75	Double Yang
DETAILS_76	Magic Resistance
DETAILS_78	% of bonus exp	
DETAILS_79	% of Yang Bonus	
DETAILS_8	Strong vs Mystics
DETAILS_80	% of Bonus Drop	
DETAILS_81	Bonus Str	
DETAILS_82	Bonus vit	
DETAILS_83	Bonus int	
DETAILS_84	Bonus Dex	
DETAILS_85	Max. HP	
DETAILS_86	Max. Sp	
DETAILS_87	Vel. Stroke	
DETAILS_88	Vel. Spell	
DETAILS_89	Vel. Movement	
DETAILS_9	Strong vs Devils
DEVILTOWER	Demon tower	
DOUBLE_BOSS_LOOT_EVENT	Double boss loot	
DOUBLE_METIN_LOOT_EVENT	Double Metin loot	
DOUBLE_MISSION_BOOK_EVENT	Drop of Missions Books	
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s Yang?
DO_YOU_BUY_ITEM2	Do you want to buy %s (%s lots) for %s Yang?
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s Yang?
DO_YOU_SELL_ITEM2	Do you want to sell %s (%s lots) for %s Yang?
DO_YOU_WANT_CREATE_SHOP	Do you want ope shop for %s yang?	
DO_YOU_WANT_GET_BACK_ITEM	Remove %s from the shop?	
DO_YOU_WANT_OPEN_SLOT	Unlock slot	
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_EQUIP_WARNING1	It is difficult to remove a Dragon Stone once it is attached.
DRAGON_SOUL_EQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	This is not the correct dragon stone.	
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DRAGON_SOUL_UNQUALIFIED	You cannot yet use Dragon Stone alchemy.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
DUNGEONINFO_CANENTER	Available	
DUNGEONINFO_CANTENTER	Low level	
DUNGEONINFO_COMPLETE	Completed:	
DUNGEONINFO_COOLDOWN	Cooldown:	
DUNGEONINFO_GROUP	Group:	
DUNGEONINFO_LEVELRANGE	Level:	
DUNGEONINFO_MAX_DMG	Maximum damage:	
DUNGEONINFO_MIN_TIME	Record time:	
DUNGEONINFO_NO	Not necessary	
DUNGEONINFO_STATISTICS	Statistics	
DUNGEONINFO_TICKET	Dungeon Key:	
DUNGEONINFO_TITLE	Dungeon information	
DUNGEONINFO_WARP	Do you want to teleport yourself to the entrance?	
DUNGEONINFO_YES	Yes	
DUNGEONTIMER_FLOOR	%d.Flor	
DUNGEONTIMER_WAVE	%d.Wave	
DUNGEON_COOLDOWN_EVENT	Dungeon Cooldown	
DUNGEON_INFO_TELEPORT	Teleport	
DUNGEON_TICKET_LOOT_EVENT	Drop Pass	
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - add x10	
EMOJI_CHARACTER_STATS_DELETE	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - subtract x10	
EMOTION_ANGRY	Aggravating
EMOTION_ATTRACTIVE	Seduction
EMOTION_BANTER	Sneering
EMOTION_CHEERS_1	Cheers 1
EMOTION_CHEERS_2	Cheers 2
EMOTION_CHEERUP	Encourage	
EMOTION_CHOOSE_ONE	Choose a target.
EMOTION_CLAP	Claps
EMOTION_CLAP_KISS	Kiss
EMOTION_CONGRATULATION	Approval
EMOTION_DANCE_1	Dance 1	
EMOTION_DANCE_2	Dance 2	
EMOTION_DANCE_3	Dance 3	
EMOTION_DANCE_4	Dance 4	
EMOTION_DANCE_5	Dance 5	
EMOTION_DANCE_6	Gagnam Style	
EMOTION_FORGIVE	Forgiveness
EMOTION_FRENCH_KISS	French Kiss
EMOTION_JOY	Joy
EMOTION_SAD	Sad
EMOTION_SHY	Rejection
EMOTION_SLAP	Hit
EMPIRE_A	Shinsoo kingdom	
EMPIRE_B	Chunjo Kingdom	
EMPIRE_C	Jinno kingdom	
EMPIRE_WAR_EVENT	Kingdom War (Lv %d - Lv %d)
EVENT_CALENDAR	Calendar
EVENT_CALENDAR_TITLE	Event calendar: %s
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
EVENT_DURATION	Duration:	
EVENT_END_AT	Ends in: 	
EVENT_MANAGER_WINDOW_TITLE	Event calendar: %s - %d	
EVENT_MONTH_1	January	
EVENT_MONTH_10	October	
EVENT_MONTH_11	November	
EVENT_MONTH_12	December	
EVENT_MONTH_2	February	
EVENT_MONTH_3	March	
EVENT_MONTH_4	April	
EVENT_MONTH_5	May	
EVENT_MONTH_6	June	
EVENT_MONTH_7	July	
EVENT_MONTH_8	August	
EVENT_MONTH_9	September	
EVENT_START_AT	Starts: 	
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	There is no event this day.	
EVENT_TOOLTIP_TITLE	Day %s:	
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum
EXCHANGE_TITLE	Trade with %s (%d)
EXP_EVENT	Experience event: %d%%	
FEBRUARY	February	
FISHING_FAILURE	You lost the Bait.
FISHING_NOTIFY1	It looks like %s is hooked.
FISHING_NOTIFY2	It looks like %s is on the hook.
FISHING_SUCCESS1	You captured %s!
FISHING_SUCCESS2	You have pulled %s out of the water!
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.
FISHING_WRONG_PLACE	You cannot go fishing here.
FLAMEDUNGEON	Red Dragon Fortress	
FOR_FEMALE	for female	
FOR_MALE	for male	
GAME_CANNOT_MINING	You cannot mine Ore while riding.
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.
GAME_INIT_ERROR_CURSOR	The cursor could not be established.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.
GAME_PICK_EXP	You have received %of experience.	
GAME_PICK_MONEY	You have received %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.
GUILDWAR_CTF_TITLE	Conquer flag	
GUILDWAR_NORMAL_TITLE	Battlefield	
GUILDWAR_WARP_TITLE	War in the sand	
GUILD_BOARD_ID	Member	
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Name of building
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_COMMENT	Write
GUILD_CREATE_ERROR_INSULT_NAME	Guildname is not valid.
GUILD_DEFAULT_GRADE	Guild members
GUILD_DELETE	Delete
GUILD_DEPOSIT	Deposit
GUILD_DO_YOU_HEAL_GSP	Do you want to use %d Yang to restore %d units of Dragon Ghost?
GUILD_DO_YOU_JOIN	has invited you. Do you want to join the guild?
GUILD_EMPTY_AREA	Empty land
GUILD_FACILITY	Outbuilding
GUILD_GEM	Gem
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Member
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Exp. Donada	
GUILD_NAME	Guild name	
GUILD_NOT_ENOUGH_MATERIAL	There is not enough material for this building.	
GUILD_NOT_ENOUGH_MONEY	There is not enough Yang for this building.	
GUILD_NO_NOTICE_PERMISSION	You do not have the permits to make an ad.	
GUILD_OBJECT	Objects	
GUILD_OFFER_EXP	Invest experience	
GUILD_SHORT_EXP	There are not enough experience points.	
GUILD_TILE_BASEINFO	Territory Information
GUILD_TILE_BOARD	Guild Messages
GUILD_TILE_GRADE	Rights Administration
GUILD_TILE_INFO	Guild Information
GUILD_TILE_MEMBER	Member
GUILD_TILE_SKILL	Guild Skills
GUILD_WAR_LIMIT_30MIN	Time: 30 minutes	
GUILD_WAR_REWARD_POTION	Reward: The winner receives a potion.	
GUILD_WAR_USE_BATTLE_MAP	Place: Guild war sand	
GUILD_WAR_USE_NORMAL_MAP	Place: Normal map	
GUILD_WAR_WIN_CHECK_SCORE	The biggest result wins the war.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquer the enemy's flag	
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	and take it to your base.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Defeat all enemies to win.	
GUILD_WITHDRAW	Alternative	
GUILD_YOU_DO_NOT_JOIN	You are not a member of any guild	
HALLOWEEN_EVENT	Halloween event	
HORSE_HEALTH0	Dead
HORSE_HEALTH1	Starving
HORSE_HEALTH2	Hungry
HORSE_HEALTH3	Full
HORSE_LEVEL1	Normal Horse
HORSE_LEVEL2	Battle Horse
HORSE_LEVEL3	Military Horse
HOUR	Hours	
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %d?
HYDRADUNGEON	Ship's defense	
MELEYDUNGEON	Meley's Lair
INPUT_MATRIX_CARD_NUMBER	Enter matrix card code.	
INPUT_MATRIX_CARD_TITLE	Matrix card	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Enter the deletion of your account adjustments here.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Delete character	
