YES	Yes
AURA_1	What is the Aura Outfit?
AURA_2	The Aura Outfit can be improved and can reach[ENTER]higher stages through evolution. This increases[ENTER]the absorption rate. You can improve your Aura[ENTER]Outfit using Aura Ice Runes, which are dropped by[ENTER]monsters. The opportunity for evolution is[ENTER]unlocked on particular levels (49, 99, 149, 199,[ENTER]249). The values’ absorption rate varies[ENTER]depending on each level. Armband, Necklace,[ENTER]Earring and Shield values can be transmitted onto[ENTER]the Aura Outfit. The item whose values are[ENTER]transmitted is destroyed during this procedure.
AURA_3	Aura Outfit: Transmit values
AURA_4	Do you want to transmit the values of Armbands,[ENTER]Necklaces, Earrings and Shields onto the Aura[ENTER]Outfit?
AURA_5	Aura Outfit: Improvement
AURA_6	Do you want to improve your Aura Outfit?
AURA_7	Aura Outfit: Evolution
AURA_8	Do you want to evolve your Aura Outfit?
12091	A new continent
12092	You have reached the new continent Yohara.[ENTER]Go to the statue.
12093	Do you want to travel to the new continent Yohara?
12094	Yes
12095	No
12096	Be careful.
12618	To access you need Champion Level 1.
12649	Becoming a Champion
12650	Do you want to go to champion level?
993	You have to wait until you can enter the dungeon again.
994	You can enter Nightmare dungeon again in:
995	Let me talk with your leader first.
996	Some people of the group still
997	have to wait.
998	If you want to enter the dungeon,
999	every each member must have atleast level 75.
1000	These members has not required level:
1001	If you want to enter the dungeon,
1002	every each member must have maximum level 125.
1003	Next members do not have enough level:
1004	If you want to enter the dungeon,
1005	every each member must have:
1006	Nightmare pass:
1007	These members don't have the
1008	You have to wait until you can enter the dungeon again.
1009	you must have 
1010	Hello warrior!
1011	We found this place last week.
1012	We named it Nightmare dungeon. This
1013	place is terrible, big eyes everywhere,
1014	you can feel the evil there.
1015	It's very dangerous place. Monsters
1016	are hiding in shadows, you never know
1017	where they are attack from.
1018	We need to destroy this place.
1019	Its gonna be work for long time.
1020	Can you help us with destroying
1021	this terrible place?
1022	Allright! That place is enchanted.
1023	You have only 60 minutes to finish
1024	the way. Then you will be teleported
1025	back here.
1026	Good luck!
RESET	Reset time
1027	Time has been reseted.
1028	Who are you?
1029	Oh, hello there!
1030	I used to be just a common priest, who
1031	was discovering beauties of nature.
1032	But i was here in really wrong time.
1033	Evil power got me. It got everything here.
1034	But, I'm glad for that. I found something
1035	new, something strong I've never seen.
1036	I protect people who are lost, this place
1037	is really bad.
1038	Only leader of the group can
1039	continue.
1040	If I'm right, you need to go trought the wall.
1041	You need a nightmare fire so you can use
1042	the cannon. I can give you the fire but
1043	I also need something.
1044	Bring me the axe, and i give you the fire.
1045	Oh, you did great!
1046	I have absolutely nothing to say.
1047	Here is:
1048	Nightmare fire: 
1049	Thank you.
1050	One more thing. You maybe noticed
1051	the mushrooms in this place. Find the
1052	right one and it teleport you to the
1053	next stage. It's wonderful, isn't it?
1054	As i said, i protect people who are lost.
1055	Everyone here is lost.
1056	Hahaha...
1057	I can teleport to you to another stage, but
1058	first i need Stone of dread.
1059	I search for it really long time.
1060	It should be on this place, anywhere.
1061	So if you can find it for me, i will
1062	move you from this place.
1063	Hard to read
1064	read this message.
1065	You have to open all the door.
1066	One by one and open the monuments
1067	behind. After you open last monument,
1068	you will get the key to destroy
1069	this monument.
1070	It's gate to final stage.
1071	What now?
1072	talk with the priest
1073	I have now all things i needed!
1074	My power is great enough!
1075	I can bring to live the worst monster
1076	in the world!
1077	You foooool..
1078	Has really nice axe, i need it!
1079	The minimum level to enter the dungeon is %d.
1080	The maximum level to enter the dungeon is %d.
1081	You, again?
1082	Some members still have to wait[ENTER]until they can join the dungeon[ENTER]again.
1083	If you want to enter Magic troll's cave,[ENTER]let me talk with the group leader first...
1084	If you want to enter the Magic troll's cave,[ENTER]there must be atleast %d players with you...
1085	If you want to enter the Magic troll's cave,[ENTER]every each group member must be level %d.[ENTER][ENTER]The next following players don't have the necessary level:
1086	If you wish to enter the Magic troll's cave,[ENTER]every each group memeber must have:
1087	The next following players don't have the required item:
1088	You have to wait until you can enter the dungeon again.
1089	You can go there again in: %s
1090	If you want to enter the magic troll cave[ENTER]you must have:
1091	I can tell that only to group leader
1092	The cave is splitted into[ENTER]2 patrs. This is the first one.[ENTER]To get to the second stage you need[ENTER]to break a spell and destroy a door[ENTER]over there. This is the only[ENTER]way to the %s.
1093	I need to talk to you leader.
1094	This place is protected by magic.[ENTER]To kill the troll you need to destroy[ENTER]3x %s. But first we need to[ENTER]uncover them. I need a specific piece[ENTER]of scroll from here. It was lying[ENTER]somewhere here on the ground.[ENTER]Bring it to me and i say the formula.
1095	Thank you![ENTER]I'm gonna uncover the seals. Be prepared![ENTER]I'm not really sure what is going to[ENTER]happen.
1096	Hello![ENTER]Nice to meet you! Few months ago,[ENTER]very strange creature was appeared[ENTER]in a cave on north. Big purple[ENTER]kind of troll. I was huning[ENTER]this beast since its there, but its[ENTER]so strong. Its protected by many[ENTER]agrresive monsters and by magic![ENTER]Souls of dead bodies live again and they[ENTER]are very strong and powerful.
1097	Those monsters are starting to leave[ENTER]the cave because there are too many of them.[ENTER]Its very dangerous for all regions.[ENTER]We need to kill this beast!
1098	Do you think you can help me with that?
1099	[ENTER]You must finish the dungeon in 30 minutes.[ENTER]Otherwise you will be teleported out[ENTER]of the dungeon.[ENTER][ENTER]I wish you best luck!
1100	Is this the place?
1101	Nothing is here
1102	You can not do that right now.
1103	Magic troll cave
1104	[ENTER]The time has been reseted.
1105	Trade Administrator
1106	What's new?
1107	We cannot open a shop here because of the monster[ENTER]attacks.
1108	Head to the Bazaar
1109	There is a place where we can withdraw to for a[ENTER]while.[ENTER]You can use your shop there.[ENTER]Would you like to go there?
1110	Confirm
1111	Cancel
1112	Head to the village.
1113	Once you're ready, you can return to the village.[ENTER]Would you like to go there?
1114	It costs %d of Yang.
1115	What? Not enough Yang? [ENTER]Come back once you have enough[ENTER].
1116	Check if the amount is correct: %d Yang.
1117	You cannot change the status of a ticket if you are not a gm.
1118	You do not have permissions to answer tickets.
1119	Answer sent successfully.
1120	You have successfully submitted the ticket.
1121	There is no character with that name.
1122	An error occurred while creating the ticket. Please try again later.
1123	You do not have permissions to do that.
1124	You cannot delete the main administrator.
1125	Member %s successfully added.
1126	Member %s successfully deleted.
1127	You cannot reply to the ticket if it is closed or solved.
1128	You must wait for a response from a GM before you can send another message.
1129	|cff00A8EB[New Player]|r: A new one has arrived %s with the name %s, Welcome to Ava2!
1130	PvP Tournament
1131	Show your skills in this Tournament and prove [ENTER]that you are the best.
1132	[ENTER]Do you want to participate in the Tournament?
1133	Go to PVP Tournament, to activate the event.
1134	Register for Tournament
1135	Do you want to register for a pvp duel?
1136	The duel has yang %s to bet.
1137	[ENTER]Still want to register?
1138	You successfully register!
1139	Something wrong in algorithm!
1140	Event not active!
1141	Register time done!
1142	Register count done!
1143	You can't join pvp with your character job!
1144	Your level lower than minimum level!
1145	Your level bigger than max level!
1146	You can't register with other map index!
1147	You don't have enought bet price!
1148	You already register with this character!
1149	You can register only once for one computer!
1150	<GM> PvP Duel Status Settings
1151	Select Your want
1152	<GM> PvP Duel Item Block
1153	Add Block Item
1154	Remove Block Item
1155	Show Me Block Items
1156	Put your want item vnum!
1157	Do you want to put this?
1158	Open Event
1159	Close Event
1160	Succesfully close!
1161	Perfect improvements?
1162	Have you heard of the Encantos Plus? If so, I'll explain.
1163	Pay close attention to me!
1164	There are 5 types of objects which have percentages between:[ENTER]
1165	This is in order to improve the bonuses of your object to perfect.
1166	[ENTER]There is a possibility that if you use of a percentage[ENTER]less than 100% your object may be destroyed.[ENTER]
1167	Remember and keep in mind that you cannot charm objects[ENTER]to improve the (Average or Ability).[ENTER]
1168	The only way to obtain these objects is by means of[ENTER]my cratfeo or in the Item Shop.[ENTER]
1169	Good luck![ENTER]
VIEW_CRAT	See crafting
NOT_CRAF	Then
VIEW_SHOP	View store
PROMOTION_TITLE_00	Joker Set Pack!
PROMOTION_TITLE_01	[ENTER]Ava2 rewards you!
PROMOTION_TITLE_02	If you have recharged 100€ from 16-07-2023 until[ENTER]20-07-2023 at 23:59 you can claim this pack[ENTER]contacting an Administrator [ENTER]via Discord: https://www.ava2.org/discord [ENTER]or in our Ingame Support System.
PROMOTION_TITLE_03	[ENTER]Thank you again for your support![ENTER]
SUNGMA_TEXT_00	If you become a champion, you will be able to level up 30[ENTER]levels more. You will get the necessary experience points on the new Yohara maps.
SUNGMA_TEXT_01	You can't use this item yet!
SUNGMA_TEXT_02	[ENTER]Wait %s before you can use it again.
SUNGMA_TEXT_03	Congratulations! Remember that it will be active for 2 days
SUNGMA_TEXT_04	Do you want to activate the bonus:
SUNGMA_TEXT_05	You already have this effect activated.
