AFF_LOVE_POINT	Body za lásku: %d%%
GUILDMARK_UPLOADER_ERROR_SELECT	Nebyl zvolen ádnı obrazovı soubor.
GUILDWAR_CTF_TITLE	Zajmout vlajku	
GUILDWAR_NORMAL_TITLE	Polní bitva
GUILDWAR_WARP_TITLE	Dìjištì války cechù
GUILD_BOARD_ID	Èlen
GUILD_BOARD_TEXT	Zpráva
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_NAME	Název budovy
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energie draèího ducha je plnì obnovena.
GUILD_COMMENT	Psát
GUILD_CREATE_ERROR_INSULT_NAME	Název cechu je nepøípustnı.
GUILD_DEFAULT_GRADE	Èlenové cechu
GUILD_DELETE	Smazat
GUILD_DEPOSIT	Deponovat
GUILD_DO_YOU_HEAL_GSP	Chceš pouít %d Yangù na obnovu %d jednotek Draèího ducha?
GUILD_DO_YOU_JOIN	 tì pozval. Pøeješ si vstoupit do cechu?
GUILD_EMPTY_AREA	Planá zemì
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit draèího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	ádnı
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotøebí minimálnì úrovnì 3.
GUILD_MEMBER_JOB	Typ
GUILD_MEMBER_KNIGHT	Bojovník
GUILD_MEMBER_LEVEL	Úroveò
GUILD_MEMBER_NAME	Èlen
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Darované BZK
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávnìn, zveøejòovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Vloit zkušenosti
GUILD_SHORT_EXP	Nedostatek zkušeností.
GUILD_TILE_BASEINFO	Informace o území
GUILD_TILE_BOARD	Zprávy cechu
GUILD_TILE_GRADE	Administrace práv
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Èlenové cechu
GUILD_TILE_SKILL	Schopnosti cechu
GUILD_WAR_LIMIT_30MIN	Èas: 30 minut
GUILD_WAR_REWARD_POTION	Odmìna: Vítìz obdrí elixíry
GUILD_WAR_USE_BATTLE_MAP	Lokalita: dìjištì cechovní války
GUILD_WAR_USE_NORMAL_MAP	Lokalita: normální mapa
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší vısledek vyhraje válku.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pøemo všechny soupeøi, abys vyhrál.	
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatøíš k ádnému cechu.
HALLOWEEN_EVENT	Halloween event	
HORSE_HEALTH0	Mrtvı
HORSE_HEALTH1	Hladovìjící
HORSE_HEALTH2	Hladovı
HORSE_HEALTH3	Plnı
HORSE_LEVEL1	Normální kùò
HORSE_LEVEL2	Opancéøovanı kùò
HORSE_LEVEL3	Vojenskı kùò
HOUR	hod.
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
HYDRADUNGEON	Obrana lodi	
MELEYDUNGEON	Doupì Meley
INPUT_MATRIX_CARD_NUMBER	Zadat èíslo Matrix-karty
INPUT_MATRIX_CARD_TITLE	Matrix-karta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INPUT_WINDOW_TEXT	Zadejte prosím jiné jméno	
INTRO_SELECT_LEVEL	Lv. %d	
INVENTORY_REALLY_USE_ITEM	Pouít poloku na %s?
ITEMSHOP_3RDSHOP_COIN	AP's	
ITEMSHOP_3RDSHOP_COINS	%d AP's	
ITEMSHOP_3RDSHOP_NAME	Jinı obchod	
ITEMSHOP_ACCEPT_CHANGE_PRICE	Ok	
ITEMSHOP_ADD_DISCOUNT_DISCOUNT_TITLE	Sleva:	
ITEMSHOP_ADD_DISCOUNT_HOUR	h	
ITEMSHOP_ADD_DISCOUNT_MINUTE	m	
ITEMSHOP_ADD_DISCOUNT_SECOND	s	
ITEMSHOP_ADD_DISCOUNT_TITLE1	Pouijte slevu na všechny kategorie:	
ITEMSHOP_ADD_ITEM_ACCEPT_TEXT_BUTTON	PØIJMOUT	
ITEMSHOP_ADD_ITEM_BONUS_TITLE	Bonus	
ITEMSHOP_ADD_ITEM_CATEGORY_TITLE	Kategorie:	
ITEMSHOP_ADD_ITEM_PRICE_TITLE	Cena:	
ITEMSHOP_ADD_ITEM_RESET_TEXT_BUTTON	Obnovení	
ITEMSHOP_ADD_ITEM_STONE_TITLE	Kámen	
ITEMSHOP_ADD_ITEM_VALUE_TITLE	Hodnota	
ITEMSHOP_ADD_ITEM_VNUM_TITLE	VNUM:	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TEXT_BUTTON	Pøidat slevy	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TOOLTIP_BUTTON	Pøidání slev s èasem k poloce.	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TEXT_BUTTON	Pøidat poloky	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TOOLTIP_BUTTON	Pøidání novıch poloek do obchodu.	
ITEMSHOP_ADMIN_PANEL_NAME	GM zóna	
ITEMSHOP_ADMIN_PANEL_RETURN_TOOLTIP_BUTTON	Návrat na	
ITEMSHOP_ADMIN_PANEL_TITLE	Administrace	
ITEMSHOP_BEST_WHEEL_PRIZES	Nejlepší ceny	
ITEMSHOP_BUY	Objednat	
ITEMSHOP_BUY_BUTTON	Koupit	
ITEMSHOP_BUY_COIN	Koupit Mince	
ITEMSHOP_BUY_ITEM_WITHOUT_AMOUNT_QUESTION	Chcete si koupit %s od %d %s?	
ITEMSHOP_BUY_ITEM_WITH_AMOUNT_QUESTION	Chcete si koupit %sx %s by %d %s?	
ITEMSHOP_BUY_TEXT	Chcete koupit |cffF7BD48%s|r ?	
ITEMSHOP_BUY_TEXT_COUNT	Chcete koupit |cffF7BD48%sx%d|r ?	
ITEMSHOP_CANCEL_CHANGE_PRICE	Zrušit	
ITEMSHOP_CATEGORY_DISCOUNT_QUESTION	Jste si jisti, e chcete uplatnit slevu %d%% v této kategorii %dH, %dM a %dS?	
ITEMSHOP_CHANGE_PRICE_QUESTION	Opravdu chcete zmìnit cenu tohoto èlánku?	
ITEMSHOP_CHANGE_PRICE_TOOLTIP_BUTTON	Zmìna ceny	
ITEMSHOP_COINS	Mince:	
ITEMSHOP_COUNT	Èástka	
ITEMSHOP_DATE	Datum: %s	
ITEMSHOP_DELETE_ITEM_QUESTION	Jste si jisti, e chcete tento prvek odstranit?	
ITEMSHOP_DELETE_ITEM_TOOLTIP_BUTTON	Odstranit prvek	
ITEMSHOP_DISCOUNT_WEEK	Slevy tıdne	
ITEMSHOP_DRAGONCOINT	Draèí mince	
ITEMSHOP_DRSSHOP_COIN	VC's	
ITEMSHOP_DRSSHOP_NAME	-	
ITEMSHOP_HOME_NAME	Úvodní stránka	
ITEMSHOP_HOTITEMS	|Eishop/hot|ePOPULAR	
ITEMSHOP_HOUR	Hodiny	
ITEMSHOP_HOURS_MINUTES_SECONDS	%dH %dM %dS	
ITEMSHOP_ISHOP_COIN	MD's	
ITEMSHOP_ISHOP_NAME	Obchod	
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Vyhledávání v obchodì s polokami ...	
ITEMSHOP_ITEM_AMOUNT	Vy.	
ITEMSHOP_ITEM_DISCOUNT_QUESTION	Urèitì chcete uplatnit slevu %z %na %s pro %dH, %dM a %dS?	
ITEMSHOP_LAST_COUNT	Zbıvající èástka: %d	
ITEMSHOP_LAST_DISCOUNTS	Poslední diskuse	
ITEMSHOP_LOAD	Naèítání dat ...	
ITEMSHOP_LOGS_NAME	Protokoly	
ITEMSHOP_MAIN_BUTTON	Start	
ITEMSHOP_MOST_BOUGHT_ITEMS	Nejèastìji kupované poloky	
ITEMSHOP_NEW_PRICE_TITLE	Nová cena:	
ITEMSHOP_OFFERS	|Eishop/offer|e OFFERS	
ITEMSHOP_PRICE	Cena	
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s Mince	
ITEMSHOP_PRICE_ONLY_TEXT	%s Mince	
ITEMSHOP_PRICE_TITLE_BOX	Cena: %d %s	
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s Mince (%d%%)	
ITEMSHOP_PURCHASES	NÁKUPY	
ITEMSHOP_SEARCH_TEXT	Hledat...	
ITEMSHOP_SEARCH_TOOLTIP_BUTTON	Hledat	
ITEMSHOP_SHOP_BUTTON	Obchod se zboím	
ITEMSHOP_SHOP_TITLE	Obchod:	
ITEMSHOP_TITLE_NAME	Obchod s polokami	
ITEMSHOP_TITLE_PANEL	Obchod s polokami	
ITEMSHOP_TOP_SELL	Nejprodávanìjší pøedmìty	
ITEMSHOP_UPDATE_COINS_TOOLTIP_BUTTON	Aktualizace mincí	
ITEMSHOP_WHEEL	|Eishop/wheel_icon|e Ruleta	
ITEMSHOP_WHEEL_BACK_ISHOP	Itemhop se vrátit zpìt	
ITEMSHOP_WHEEL_COIN_TEXT	 |Eishop/coin|e    Cena: 10 mincí	
ITEMSHOP_WHEEL_COIN_TEXT_INFO	Budete pouívat |cffF7BD48Mince|r roztoèit.	
ITEMSHOP_WHEEL_NAME	Kolo osudu	
ITEMSHOP_WHEEL_PRICE1	Cena	
ITEMSHOP_WHEEL_PRICE2	10 mincí	
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Ruleta štìstí|r	
ITEMSHOP_WHEEL_SKIP_ANIMATION	Pøeskoèit animaci	
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 vstupenka	
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Pouíváte |cffF7BD48Los rulety|r roztoèit.	
ITEM_DROP_EVENT	Událost upuštìní objektù: %d%%	
JANUARY	Leden	
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	ádná
JOB_ASSASSIN1	Dıkovı ninja
JOB_ASSASSIN2	Ninja na dálku
JOB_SHAMAN	Šaman
JOB_SHAMAN0	ádná
JOB_SHAMAN1	Draèí šaman
JOB_SHAMAN2	Šaman léèitel
JOB_SURA	Sura
JOB_SURA0	ádná
JOB_SURA1	Zbraòovı Sura
JOB_SURA2	Magickı Sura
JOB_WARRIOR	Váleèník
JOB_WARRIOR0	ádná
JOB_WARRIOR1	Váleèník na tìlo
JOB_WARRIOR2	Mentální váleèník
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan amatér
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
JULY	Èervenec	
JUNE	Èerven	
KEY_A	A	
KEY_D	D	
KEY_E	AND	
KEY_L	L	
KEY_N	N	
KEY_S	S	
KEY_V	V	
SAVE_ME	Uloit úèet
LEFT_TIME	Zbyvajíci èas	
LOGIN_CONNECT_FAILURE	Chyba pøi spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi pøipojen na server.
LOGIN_CONNETING	Budeš pøipojen na server...
LOGIN_FAILURE_ALREAY	Tvé konto je u pøipojeno.
LOGIN_FAILURE_GUID_PROTECTION	Tvé konto je u pøipojeno.
LOGIN_FAILURE_GUID_UPDATED	je ji pøipojen.
LOGIN_FAILURE_BACKEND_ERR	Objevila se chyba. Prosíme, kontaktuj Podporu.
LOGIN_FAILURE_BE_SAME_KEY	Problém s pøihlášením
LOGIN_FAILURE_BLOCK_ID	Tento úèet byl zablokován.
LOGIN_FAILURE_BLOCK_LOGIN	Uzavøenı server: Prosím, zvolte si nìkterı z jinıch serverù!
LOGIN_FAILURE_COUNTRY_ERR	Chybnı kód zemì.\nProsíme, kontaktuj Podporu.
LOGIN_FAILURE_INTEGRTING	Tento úèet se momentálnì spojuje. Prosíme, zkus to znovu pozdìji.
LOGIN_FAILURE_IOVATION_ERR	Bohuel se stala chyba. Prosíme, kontaktuj Podporu.
LOGIN_FAILURE_NOBILL	Tento úèet nemá ádnı hrací èas.
LOGIN_FAILURE_NOT_AVAIL	Tvuj úcet byl zabanován.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Musíš ovìøit svùj úèet pomocí e-mailu.
LOGIN_FAILURE_REPAIR_ID	Pro tento úèet byly pøedmìty obnoveny.
LOGIN_FAILURE_SAMELOGIN	Nìkdo se pøipojil na tvùj úèet.
LOGIN_FAILURE_SERVER_GRADE	Tento úèet bohuel nemá pøístup k tomuto exkluzivnímu serveru.
LOGIN_FAILURE_SHUTDOWN	Server zatím není pøístupnı.
LOGIN_FAILURE_STEAM_SESSION	Tvoje sezení vypršelo. Prosíme, spus znovu klienta.
LOGIN_FAILURE_TNT_SESSION	Nelze otevøít klienta. Prosíme, spus znovu hru a pøihlas se.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protoe právì hraje pøíliš mnoho hráèù.
LOGIN_FAILURE_UNKNOWN	Z neznámıch dùvodù jsi se nemohl pøihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Zadal jsi špatné èíslo.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Zadal jsi tøikrát špatné èíslo. Tvoje pøipojení bude pøerušeno.
LOGIN_FAILURE_WRONG_PASSWORD	Chybné jméno nebo heslo.
LOGIN_FAILURE_SHUTDOWN_TIME	Hra je v souèasné dobì v údrbì.
LOGIN_FAILURE_WRONG_SOCIALID	Neuspìl jsi.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_BLOCK_LOGIN	Uzavøenı server: Prosím, zvolte si nìkterı z jinıch serverù!
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Pøihlášení probíhá...
MALL_CANNOT_INSERT	Tento pøedmìt nemùeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong	
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjù
MAP_B3	Oblast Bokjung
MAP_BATTLE_FIELD	Bitevní zóna
MAP_BAY	Nefritovı záliv
MAP_BAYBLACKSAND	Nefritovı záliv
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	BO: Zakletı les
MAP_BOSS_AWAKEN_FLAME	BO: Pevnost Èerveného draka
MAP_BOSS_AWAKEN_SKIPIA	BO: Jeskynì vyhnanství
MAP_BOSS_AWAKEN_SNOW	BO: Nemerova strání vì
MAP_BOSS_CRACK_DAWNMIST	ÈT: Zakletı les
MAP_BOSS_CRACK_FLAME	ÈT: Pevnost Èerveného draka
MAP_BOSS_CRACK_SKIPIA	ÈT: Jeskynì vyhnanství
MAP_BOSS_CRACK_SNOW	ÈT: Nemerova strání vì
MAP_BOSS_LABYRINTH	Náhorní plošina iluzí
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanù
MAP_C3	Oblast Bakra
MAP_CAPE	Záliv draèího ohnì
MAP_CAPEDRAGONHEAD	Záliv draèího ohnì
MAP_CG	Imha
MAP_CZ_DUNGEON	Chrám Zvìrokruhu
MAP_DAWN	Útes Gautama
MAP_DAWNMISTWOOD	Útes Gautama
MAP_DAWNMIST_DUNGEON_01	Zakletı les
MAP_DEFENSE_WAVE	Obrana lodi
MAP_DEFENSE_WAVE_PORT	Pøístav
MAP_DESERT	Pouš Yongbi
MAP_DEVILCATACOMB	Ïáblova katakomba
MAP_DEVILTOWER1	Vì démonù
MAP_DUEL	Oblast tréninkovıch bojù
MAP_E	Kolonie
MAP_EMPIREWAR01	Bitva na hradì
MAP_EMPIREWAR02	Bitva na hradì
MAP_EMPIREWAR03	Bitva na hradì
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palác Draèího krále
MAP_HOLYPLACE_DESERT	Bitva království - Pouštní zemì
MAP_HOLYPLACE_FLAME	Bitva království - Ohnivá zemì
MAP_HOLYPLACE_ICE	Bitva království - Ledová zemì
MAP_MILGYO	Chrám Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Modré bludištì - lvl 40-80
MAP_MINIBOSS_02	Èervené bludištì - lvl 81+
MAP_MISTS_OF_ISLAND	Mlnı ostrov
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Bouøné hory
MAP_MT_TH_DUNGEON_01	Chrám Ochao
MAP_NUSLUCK	Zemì obrù
MAP_NUSLUCK01	Zemì obrù
MAP_N_DESERT_01	Pouš Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ohnivá zemì
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Doupì Meley
MAP_N_FLAME_DUNGEON_01	Pevnost Èerveného draka
MAP_N_SNOWM_01	Hora Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemerova strání vì
MAP_N_THREEWAY	Údolí Seungryong
MAP_OXEVENT	Soute OX
MAP_PATHWAY_DESERT_01	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_02	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_03	Bitva království - Pouštní zemì
MAP_PATHWAY_FLAME_01	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_02	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_03	Bitva království - Ohnivá zemì
MAP_PATHWAY_ICE_01	Bitva království - Ledová zemì
MAP_PATHWAY_ICE_02	Zemì her
MAP_PATHWAY_ICE_03	Bitva království - Ledová zemì
MAP_SKELTOWER	Vì Gumsan
MAP_SKIPIA_DUNGEON_01	Jeskynì vyhnanství
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Jeskynì vyhnanství 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Draèí chrám
MAP_SKIPIA_DUNGEON_BOSS_1	Pavouèí bludištì 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pavouèí bludištì 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pavouèí bludištì 3
MAP_SNOW	Hora Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pavouèí bludištì 1
MAP_SPIDERDUNGEON_02	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_02_1	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_03	Pavouèí bludištì 3
MAP_SUNGZI	Bitva království
MAP_SUNGZI_DESERT_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_02	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_03	Bitva království - Pouštní zemì
MAP_SUNGZI_FLAME_HILL_01	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_02	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_03	Bitva království - Ohnivá zemì
MAP_SUNGZI_SNOW	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS01	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS02	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS03	Bitva království - Ledová zemì
MAP_T1	Oblast cechovních válek
MAP_T2	Oblast cechovních válek
MAP_T3	Oblast cechovních válek
MAP_T4	Oblast cechovních válek
MAP_TEMPLE	Chrám Hwang
MAP_THUNDER	Bouøné hory
MAP_TREE	Lungsam
MAP_TRENT	Les duchù
MAP_TRENT02	Èervenı les
MAP_TRENT02_A	Èervenı les
MAP_TRENT_A	
MAP_WEDDING_01	Svatební oblast
MAP_WL	Hadí pole
MAP_WL_01	Hadí pole
MARCH	Bøezen	
MAY	Kvìten	
MESSENGER_ADD_FRIEND	Pøidat pøítele
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s tì pøijímal za pøítele.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akceptovat?
MESSENGER_DO_YOU_DELETE	Smazat?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Chceš smazat èíslo na mobil?
MESSENGER_EMPTY_LIST	Prázdnı
MESSENGER_FAMILY	Rodina
MESSENGER_FRIEND	Pøátelé
MESSENGER_GUILD	Cech
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Zadej èíslo potvrzení, které bylo odesláno na tvùj mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Zadat èíslo potvrzení
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Zadej èíslo na mobil na zasílaní SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Chceš teï zadat èíslo?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Zadat èíslo na mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Poslat zprávu	
MINIMAP	Otevøít minimapu
MINIMAP_BOSS_TOOLTIP	[Respawn: %s]
MINIMAP_CANNOT_SEE	Minimapu nelze zobrazit.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Vekou mapu nelze zobrazit.
MINIMAP_DEC_SCALE	Oddálit
MINIMAP_INC_SCALE	Pøiblíit
MINIMAP_OBSERVER_COUNT	%d divák
MINIMAP_SHOW_AREAMAP	Velká mapa
MINUTE	min
MISSION_BOSS	Vrchní lovec	
MISSION_BOSS_DESC	Zabij všechny bossy potøebné k dokonèení mise.	
MISSION_BOSS_SUB	Boss	
MISSION_CATCH_FISH	Rybáø	
MISSION_CATCH_FISH_DESC	Ulovte poadované mnoství ryb \n pro dokonèení mise.	
MISSION_CATCH_FISH_SUB	Ryby	
MISSION_COMPLETED	Splnìno:	
MISSION_COMPLETED_COUNT	Poèet dokonèenıch misí: %d	
MISSION_CRAFT_GAYA	Gaya crack	
MISSION_CRAFT_GAYA_DESC	Craftea poadovanı gay objekt.	
MISSION_CRAFT_ITEM	Vylepšení objektù	
MISSION_CRAFT_ITEM_DESC	Úroveò objektu s poehnáním \n pro dokonèení mise	
MISSION_CRAFT_ITEM_SUB	Objekt k craftování:	
MISSION_DATE_TEXT	Název: %s %d	
MISSION_DESTROY_ITEM	Znièit objekty	
MISSION_DESTROY_ITEM_DESC	Zniè objekt potøebnı k \nnaplnìní mise.	
MISSION_DUNGEON	Dokonèete dungeony	
MISSION_DUNGEON_DESC	Proveïte dungeon potøebnı k \naplnìní mise.	
MISSION_DUNGEON_SUB	Dungeon	
MISSION_EARN_MONEY	Sbìratel zlata	
MISSION_EARN_MONEY_DESC	Ukradni mobùm jang, abys dosáhl poadovaného jangu a dokonèil misi.	
MISSION_FEED_PET	Nakrm svého mazlíèka	
MISSION_FEED_PET_DESC	Nakrm svého mazlíèka, aby nezemøel.	
MISSION_KILLPLAYER	Zabij hráèe	
MISSION_KILLPLAYER_DESC	Zabij hráèe, abys dokonèil misi.	
MISSION_LEFT_TIME	Èas: %s	
MISSION_LEVEL_UP	Zvıšení úrovnì	
MISSION_LEVEL_UP_DESC	Zvyšte si lehkou úroveò.	
MISSION_MONSTER	Zabij pøíšery	
MISSION_MONSTER_DESC	Zabij potøebné pøíšery, které mùeš, abys dokonèil úkol.	
MISSION_MONSTER_SUB	Pøíšera	
MISSION_MOUNT_TIME	Jezdec	
MISSION_MOUNT_TIME_DESC	Získat na poadovanı èas.	
MISSION_NONE	Neznámá mise	
MISSION_OPEN_OFFLINESHOP	Otevøít offline obchod	
MISSION_OPEN_OFFLINESHOP_DESC	Otevøít offline obchod	
MISSION_PLAYTIME	Aktivní hráè	
MISSION_PLAYTIME_DESC	Kumuluje poèet minut potøebnıch \n k dokonèení mise.	
MISSION_REFINE_ALCHEMY	Zlepšete svou alchymii	
MISSION_REFINE_ALCHEMY_DESC	Zlepši svou alchymii, abys mohl dokonèit misi.	
MISSION_REFINE_ITEM	Vylepšuje pøedmìt	
MISSION_REFINE_ITEM_DESC	Vylepší poadovanı pøedmìt	
MISSION_REFINE_ITEM_SUB	Objekt	
MISSION_REMAINING	Èástka:	
MISSION_SASH	Šerpy	
MISSION_SASH_DESC	Spojí všechna poadovaná køídla	
MISSION_SELL_ITEM	Prodá ??objekty	
MISSION_SELL_ITEM_DESC	Prodej ??poadovaného objektu	
MISSION_SHOUT_CHAT	Pouít globální chat	
MISSION_SHOUT_CHAT_DESC	chatujte s ostatními hráèi \pouitím globálního chatu k dokonèení mise.	
MISSION_SPEND_MONEY	Obchodník	
MISSION_SPEND_MONEY_DESC	Utratit jang potøebnı k \ dokonèení mise u NPC.	
MISSION_SPRITE_STONE	Pøidejte kameny.	
MISSION_SPRITE_STONE_DESC	Pøidání kamenù k objektùm	
MISSION_STATUS_ACTIVE	|cff00ff00Status: Aktivní	
MISSION_STATUS_DONE	|cff00ff00Status: Dokonèeno	
MISSION_STATUS_NOT_ACTIVE	|cffff0000Status: ¡Není aktivní!	
MISSION_STONE	Metines Destroyer	
MISSION_STONE_DESC	Znièí mnoství metin, které je potøeba k dokonèení mise.	
MISSION_SUB_ALL	Any	
MISSION_TASK_COUNT	Celkovı poèet misí: %d	
MISSION_USE_EMOTICON	Pouij emoce	
MISSION_USE_EMOTICON_DESC	Pouij emoce k dokonèení mise.
MISSION_WHISPER	Odeslat PM	
MISSION_WHISPER_DESC	Poslat PM ostatním hráèùm	
MONETARY_COMBAT_ZONE	Lektvary	
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Prodejní cena:
MOONLIGHT_EVENT	Mìsíèní boxy
RAMADAN_EVENT	Ramadan Event
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan	
MOUNT_SOHAN_MAP_NAME	Hora Sohan	
MOUNT_YONGBI_MAP_NAME	Pouš Jongbi	
MOVE_CHANNEL_CANCEL	Zrušit
MOVE_CHANNEL_SELECT	Ok	
MOVE_CHANNEL_TITLE	Kanály	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nemùeš pøesunout tento pøedmìt, kdy jsi otevøel soukromı stánek.
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF Tato postava má aktivovaní drop!
MULTI_FARM_ACTIVE_TEXT	Chcete aktivovat Multi-Farm?	
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF Deaktivovali jste drop pro tuto postavu!|r
